,symboling,normalized-losses,make,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,city-L/100km,horsepower-binned
10,0,81.0,chevrolet,std,four,sedan,fwd,front,94.5,0.7838104639684107,0.8870292887029289,52.0,1909,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400.0,38,43,6575.0,6.184210526315789,Low
11,1,118.0,dodge,std,two,hatchback,fwd,front,93.7,0.7764067127344522,0.8898186889818688,50.8,1876,ohc,four,90,2bbl,2.97,3.23,9.41,68,5500.0,37,41,5572.0,6.351351351351352,Low
12,1,118.0,dodge,std,two,hatchback,fwd,front,93.7,0.7764067127344522,0.8898186889818688,50.8,1876,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500.0,31,38,6377.0,7.580645161290323,Low
13,1,118.0,dodge,turbo,two,hatchback,fwd,front,93.7,0.7764067127344522,0.8898186889818688,50.8,2128,ohc,four,98,mpfi,3.03,3.39,7.6,102,5500.0,24,30,7957.0,9.791666666666666,Medium
14,1,148.0,dodge,std,four,hatchback,fwd,front,93.7,0.7764067127344522,0.8898186889818688,50.6,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500.0,31,38,6229.0,7.580645161290323,Low
15,1,148.0,dodge,std,four,sedan,fwd,front,93.7,0.7764067127344522,0.8898186889818688,50.6,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500.0,31,38,6692.0,7.580645161290323,Low
16,1,148.0,dodge,std,four,sedan,fwd,front,93.7,0.7764067127344522,0.8898186889818688,50.6,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500.0,31,38,7609.0,7.580645161290323,Low
17,1,148.0,dodge,turbo,,sedan,fwd,front,93.7,0.7764067127344522,0.8898186889818688,50.6,2191,ohc,four,98,mpfi,3.03,3.39,7.6,102,5500.0,24,30,8558.0,9.791666666666666,Medium
18,-1,110.0,dodge,std,four,wagon,fwd,front,103.3,0.861796643632774,0.9009762900976289,59.8,2535,ohc,four,122,2bbl,3.34,3.46,8.5,88,5000.0,24,30,8921.0,9.791666666666666,Low
19,3,145.0,dodge,turbo,two,hatchback,fwd,front,95.9,0.8548864758144126,0.9246861924686192,50.2,2811,ohc,four,156,mfi,3.6,3.9,7.0,145,5000.0,19,24,12964.0,12.368421052631579,Medium
20,2,137.0,honda,std,two,hatchback,fwd,front,86.6,0.7137216189536032,0.8912133891213389,50.8,1713,ohc,four,92,1bbl,2.91,3.41,9.6,58,4800.0,49,54,6479.0,4.795918367346939,Low
21,2,137.0,honda,std,two,hatchback,fwd,front,86.6,0.7137216189536032,0.8912133891213389,50.8,1819,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000.0,31,38,6855.0,7.580645161290323,Low
22,1,101.0,honda,std,two,hatchback,fwd,front,93.7,0.7403751233958539,0.8926080892608089,52.6,1837,ohc,four,79,1bbl,2.91,3.07,10.1,60,5500.0,38,42,5399.0,6.184210526315789,Low
23,1,101.0,honda,std,two,hatchback,fwd,front,93.7,0.7403751233958539,0.8926080892608089,52.6,1940,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000.0,30,34,6529.0,7.833333333333333,Low
24,1,101.0,honda,std,two,hatchback,fwd,front,93.7,0.7403751233958539,0.8926080892608089,52.6,1956,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000.0,30,34,7129.0,7.833333333333333,Low
25,0,110.0,honda,std,four,sedan,fwd,front,96.5,0.8065153010858835,0.8926080892608089,54.5,2010,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000.0,30,34,7295.0,7.833333333333333,Low
26,0,78.0,honda,std,four,wagon,fwd,front,96.5,0.7754195459032577,0.8912133891213389,58.3,2024,ohc,four,92,1bbl,2.92,3.41,9.2,76,6000.0,30,34,7295.0,7.833333333333333,Low
27,0,106.0,honda,std,two,hatchback,fwd,front,96.5,0.8267522211253702,0.9093444909344491,53.3,2236,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800.0,27,33,7895.0,8.703703703703704,Low
28,0,106.0,honda,std,two,hatchback,fwd,front,96.5,0.8267522211253702,0.9093444909344491,53.3,2289,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800.0,27,33,9095.0,8.703703703703704,Low
29,0,85.0,honda,std,four,sedan,fwd,front,96.5,0.8657453109575519,0.9093444909344491,54.1,2304,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800.0,27,33,8845.0,8.703703703703704,Low
30,0,85.0,honda,std,four,sedan,fwd,front,96.5,0.8657453109575519,0.8716875871687587,54.1,2372,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800.0,27,33,10295.0,8.703703703703704,Low
31,0,85.0,honda,std,four,sedan,fwd,front,96.5,0.8657453109575519,0.9093444909344491,54.1,2465,ohc,four,110,mpfi,3.15,3.58,9.0,101,5800.0,24,28,12945.0,9.791666666666666,Medium
32,1,107.0,honda,std,two,sedan,fwd,front,96.5,0.8346495557749259,0.9205020920502092,51.0,2293,ohc,four,110,2bbl,3.15,3.58,9.1,100,5500.0,25,31,10345.0,9.4,Medium
33,0,145.0,jaguar,std,four,sedan,rwd,front,113.0,0.9851924975320829,0.9707112970711296,52.8,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176,4750.0,15,19,32250.0,15.666666666666666,High
34,1,104.0,mazda,std,two,hatchback,fwd,front,93.1,0.7852912142152023,0.895397489539749,54.1,1890,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000.0,30,31,5195.0,7.833333333333333,Low
35,1,104.0,mazda,std,two,hatchback,fwd,front,93.1,0.7852912142152023,0.895397489539749,54.1,1900,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000.0,31,38,6095.0,7.580645161290323,Low
36,1,104.0,mazda,std,two,hatchback,fwd,front,93.1,0.7852912142152023,0.895397489539749,54.1,1905,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000.0,31,38,6795.0,7.580645161290323,Low
37,1,113.0,mazda,std,four,sedan,fwd,front,93.1,0.8232971372161896,0.895397489539749,54.1,1945,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000.0,31,38,6695.0,7.580645161290323,Low
38,1,113.0,mazda,std,four,sedan,fwd,front,93.1,0.8232971372161896,0.895397489539749,54.1,1950,ohc,four,91,2bbl,3.08,3.15,9.0,68,5000.0,31,38,7395.0,7.580645161290323,Low
39,3,150.0,mazda,std,two,hatchback,rwd,front,95.3,0.8341559723593287,0.9163179916317992,49.6,2380,rotor,two,70,4bbl,,,9.4,101,6000.0,17,23,10945.0,13.823529411764707,Medium
40,3,150.0,mazda,std,two,hatchback,rwd,front,95.3,0.8341559723593287,0.9163179916317992,49.6,2380,rotor,two,70,4bbl,,,9.4,101,6000.0,17,23,11845.0,13.823529411764707,Medium
41,3,150.0,mazda,std,two,hatchback,rwd,front,95.3,0.8341559723593287,0.9163179916317992,49.6,2385,rotor,two,70,4bbl,,,9.4,101,6000.0,17,23,13645.0,13.823529411764707,Medium
42,3,150.0,mazda,std,two,hatchback,rwd,front,95.3,0.8341559723593287,0.9163179916317992,49.6,2500,rotor,two,80,mpfi,,,9.4,135,6000.0,16,23,15645.0,14.6875,Medium
43,1,129.0,mazda,std,two,hatchback,fwd,front,98.8,0.8775913129318855,0.9274755927475592,53.7,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800.0,26,32,8845.0,9.038461538461538,Low
44,0,115.0,mazda,std,four,sedan,fwd,front,98.8,0.8775913129318855,0.9274755927475592,55.5,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800.0,26,32,8495.0,9.038461538461538,Low
45,1,129.0,mazda,std,two,hatchback,fwd,front,98.8,0.8775913129318855,0.9274755927475592,53.7,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800.0,26,32,10595.0,9.038461538461538,Low
46,0,115.0,mazda,std,four,sedan,fwd,front,98.8,0.8775913129318855,0.9274755927475592,55.5,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800.0,26,32,10245.0,9.038461538461538,Low
47,0,115.0,mazda,std,four,hatchback,fwd,front,98.8,0.8775913129318855,0.9274755927475592,55.5,2425,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800.0,26,32,11245.0,9.038461538461538,Low
48,0,118.0,mazda,std,four,sedan,rwd,front,104.9,0.863770977295163,0.9218967921896791,54.4,2670,ohc,four,140,mpfi,3.76,3.16,8.0,120,5000.0,19,27,18280.0,12.368421052631579,Medium
49,-1,93.0,mercedes-benz,turbo,four,sedan,rwd,front,110.0,0.9422507403751235,0.9804741980474198,56.5,3515,ohc,five,183,idi,3.58,3.64,21.5,123,4350.0,22,25,25552.0,10.681818181818182,Medium
50,-1,93.0,mercedes-benz,turbo,four,wagon,rwd,front,110.0,0.9422507403751235,0.9804741980474198,58.7,3750,ohc,five,183,idi,3.58,3.64,21.5,123,4350.0,22,25,28248.0,10.681818181818182,Medium
51,0,93.0,mercedes-benz,turbo,two,hardtop,rwd,front,106.7,0.9254689042448174,0.9804741980474198,54.9,3495,ohc,five,183,idi,3.58,3.64,21.5,123,4350.0,22,25,28176.0,10.681818181818182,Medium
52,-1,93.0,mercedes-benz,turbo,four,sedan,rwd,front,115.6,1.0,1.0,56.3,3770,ohc,five,183,idi,3.58,3.64,21.5,123,4350.0,22,25,31600.0,10.681818181818182,Medium
53,3,142.0,mercedes-benz,std,two,convertible,rwd,front,96.6,0.8899308983218165,0.9832635983263598,50.8,3685,ohcv,eight,234,mpfi,3.46,3.1,8.3,155,4750.0,16,18,35056.0,14.6875,High
54,2,161.0,mitsubishi,std,two,hatchback,fwd,front,93.7,0.7764067127344522,0.898186889818689,50.8,1918,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500.0,37,41,5389.0,6.351351351351352,Low
55,2,161.0,mitsubishi,std,two,hatchback,fwd,front,93.7,0.7764067127344522,0.898186889818689,50.8,1944,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500.0,31,38,6189.0,7.580645161290323,Low
56,2,161.0,mitsubishi,std,two,hatchback,fwd,front,93.7,0.7764067127344522,0.898186889818689,50.8,2004,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500.0,31,38,6669.0,7.580645161290323,Low
57,1,161.0,mitsubishi,turbo,two,hatchback,fwd,front,93.0,0.7764067127344522,0.8898186889818688,50.8,2145,ohc,four,98,spdi,3.03,3.39,7.6,102,5500.0,24,30,7689.0,9.791666666666666,Medium
58,3,153.0,mitsubishi,turbo,two,hatchback,fwd,front,96.3,0.8538993089832182,0.9121338912133892,49.4,2370,ohc,four,110,spdi,3.17,3.46,7.5,116,5500.0,23,30,9959.0,10.217391304347826,Medium
59,3,153.0,mitsubishi,std,two,hatchback,fwd,front,96.3,0.8538993089832182,0.9121338912133892,49.4,2328,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000.0,25,32,8499.0,9.4,Low
60,1,125.0,mitsubishi,std,four,sedan,fwd,front,96.3,0.8509378084896349,0.9121338912133892,51.6,2365,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000.0,25,32,6989.0,9.4,Low
61,1,125.0,mitsubishi,std,four,sedan,fwd,front,96.3,0.8509378084896349,0.9121338912133892,51.6,2405,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000.0,25,32,8189.0,9.4,Low
62,1,125.0,mitsubishi,turbo,four,sedan,fwd,front,96.3,0.8509378084896349,0.9121338912133892,51.6,2403,ohc,four,110,spdi,3.17,3.46,7.5,116,5500.0,23,30,9279.0,10.217391304347826,Medium
63,-1,137.0,mitsubishi,std,four,sedan,fwd,front,96.3,0.8509378084896349,0.9121338912133892,51.6,2403,ohc,four,110,spdi,3.17,3.46,7.5,116,5500.0,23,30,9279.0,10.217391304347826,Medium
64,1,128.0,nissan,std,two,sedan,fwd,front,94.5,0.815893385982231,0.8898186889818688,54.5,1889,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,31,37,5499.0,7.580645161290323,Low
65,1,128.0,nissan,std,two,sedan,fwd,front,94.5,0.815893385982231,0.8898186889818688,54.5,2017,ohc,four,103,idi,2.99,3.47,21.9,55,4800.0,45,50,7099.0,5.222222222222222,Low
66,1,128.0,nissan,std,two,sedan,fwd,front,94.5,0.815893385982231,0.8898186889818688,54.5,1918,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,31,37,6649.0,7.580645161290323,Low
67,1,122.0,nissan,std,four,sedan,fwd,front,94.5,0.815893385982231,0.8898186889818688,54.5,1938,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,31,37,6849.0,7.580645161290323,Low
68,1,103.0,nissan,std,four,wagon,fwd,front,94.5,0.8400789733464955,0.8898186889818688,53.5,2024,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,31,37,7349.0,7.580645161290323,Low
69,1,128.0,nissan,std,two,sedan,fwd,front,94.5,0.815893385982231,0.8898186889818688,54.5,1951,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,31,37,7299.0,7.580645161290323,Low
70,1,128.0,nissan,std,two,hatchback,fwd,front,94.5,0.8173741362290227,0.8898186889818688,53.3,2028,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,31,37,7799.0,7.580645161290323,Low
71,1,122.0,nissan,std,four,sedan,fwd,front,94.5,0.815893385982231,0.8898186889818688,54.5,1971,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,31,37,7499.0,7.580645161290323,Low
72,1,103.0,nissan,std,four,wagon,fwd,front,94.5,0.8400789733464955,0.8898186889818688,53.5,2037,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,31,37,7999.0,7.580645161290323,Low
73,2,168.0,nissan,std,two,hardtop,fwd,front,95.1,0.8015794669299112,0.8898186889818688,53.3,2008,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,31,37,8249.0,7.580645161290323,Low
74,0,106.0,nissan,std,four,hatchback,fwd,front,97.2,0.8558736426456072,0.9093444909344491,54.7,2324,ohc,four,120,2bbl,3.33,3.47,8.5,97,5200.0,27,34,8949.0,8.703703703703704,Low
75,0,106.0,nissan,std,four,sedan,fwd,front,97.2,0.8558736426456072,0.9093444909344491,54.7,2302,ohc,four,120,2bbl,3.33,3.47,8.5,97,5200.0,27,34,9549.0,8.703703703703704,Low
76,0,128.0,nissan,std,four,sedan,fwd,front,100.4,0.8968410661401777,0.9274755927475592,55.1,3095,ohcv,six,181,mpfi,3.43,3.27,9.0,152,5200.0,17,22,13499.0,13.823529411764707,High
77,0,108.0,nissan,std,four,wagon,fwd,front,100.4,0.9111549851924975,0.9274755927475592,56.1,3296,ohcv,six,181,mpfi,3.43,3.27,9.0,152,5200.0,17,22,14399.0,13.823529411764707,High
78,0,108.0,nissan,std,four,sedan,fwd,front,100.4,0.9111549851924975,0.9274755927475592,55.1,3060,ohcv,six,181,mpfi,3.43,3.27,9.0,152,5200.0,19,25,13499.0,12.368421052631579,High
79,3,194.0,nissan,std,two,hatchback,rwd,front,91.3,0.8425468904244817,0.9470013947001396,49.7,3071,ohcv,six,181,mpfi,3.43,3.27,9.0,160,5200.0,19,25,17199.0,12.368421052631579,High
80,3,194.0,nissan,turbo,two,hatchback,rwd,front,91.3,0.8425468904244817,0.9470013947001396,49.7,3139,ohcv,six,181,mpfi,3.43,3.27,7.8,200,5200.0,17,23,19699.0,13.823529411764707,High
81,1,231.0,nissan,std,two,hatchback,rwd,front,99.2,0.8810463968410661,0.9470013947001396,49.7,3139,ohcv,six,181,mpfi,3.43,3.27,9.0,160,5200.0,19,25,18399.0,12.368421052631579,High
82,0,161.0,peugot,std,four,sedan,rwd,front,107.9,0.9215202369200395,0.9539748953974896,56.7,3020,l,four,120,mpfi,3.46,3.19,8.4,97,5000.0,19,24,11900.0,12.368421052631579,Low
83,0,161.0,peugot,turbo,four,sedan,rwd,front,107.9,0.9215202369200395,0.9539748953974896,56.7,3197,l,four,152,idi,3.7,3.52,21.0,95,4150.0,28,33,13200.0,8.392857142857142,Low
84,0,161.0,peugot,std,four,sedan,rwd,front,107.9,0.9215202369200395,0.9539748953974896,56.7,3075,l,four,120,mpfi,3.46,2.19,8.4,95,5000.0,19,24,15580.0,12.368421052631579,Low
85,0,161.0,peugot,turbo,four,sedan,rwd,front,107.9,0.9215202369200395,0.9539748953974896,56.7,3252,l,four,152,idi,3.7,3.52,21.0,95,4150.0,28,33,16900.0,8.392857142857142,Low
86,0,161.0,peugot,std,four,sedan,rwd,front,107.9,0.9215202369200395,0.9539748953974896,56.7,3075,l,four,120,mpfi,3.46,3.19,8.4,97,5000.0,19,24,16630.0,12.368421052631579,Low
87,0,161.0,peugot,turbo,four,sedan,rwd,front,107.9,0.9215202369200395,0.9539748953974896,56.7,3252,l,four,152,idi,3.7,3.52,21.0,95,4150.0,28,33,17950.0,8.392857142857142,Low
88,0,161.0,peugot,turbo,four,sedan,rwd,front,108.0,0.9215202369200395,0.9525801952580194,56.0,3130,l,four,134,mpfi,3.61,3.21,7.0,142,5600.0,18,24,18150.0,13.055555555555555,Medium
89,1,119.0,plymouth,std,two,hatchback,fwd,front,93.7,0.7764067127344522,0.8898186889818688,50.8,1918,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500.0,37,41,5572.0,6.351351351351352,Low
90,1,119.0,plymouth,turbo,two,hatchback,fwd,front,93.7,0.7764067127344522,0.8898186889818688,50.8,2128,ohc,four,98,spdi,3.03,3.39,7.6,102,5500.0,24,30,7957.0,9.791666666666666,Medium
91,1,154.0,plymouth,std,four,hatchback,fwd,front,93.7,0.7764067127344522,0.8898186889818688,50.6,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500.0,31,38,6229.0,7.580645161290323,Low
92,1,154.0,plymouth,std,four,sedan,fwd,front,93.7,0.8257650542941758,0.8898186889818688,50.8,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500.0,31,38,6692.0,7.580645161290323,Low
93,1,154.0,plymouth,std,four,sedan,fwd,front,93.7,0.8257650542941758,0.8898186889818688,50.8,2191,ohc,four,98,2bbl,2.97,3.23,9.4,68,5500.0,31,38,7609.0,7.580645161290323,Low
94,-1,74.0,plymouth,std,four,wagon,fwd,front,103.3,0.861796643632774,0.9009762900976289,59.8,2535,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000.0,24,30,8921.0,9.791666666666666,Low
95,3,186.0,porsche,std,two,hatchback,rwd,front,94.5,0.8336623889437316,0.9525801952580194,50.2,2778,ohc,four,151,mpfi,3.94,3.11,9.5,143,5500.0,19,27,22018.0,12.368421052631579,Medium
96,3,150.0,saab,std,two,hatchback,fwd,front,99.1,0.9210266535044422,0.9274755927475592,56.1,2658,ohc,four,121,mpfi,3.54,3.07,9.31,110,5250.0,21,28,11850.0,11.19047619047619,Medium
97,2,104.0,saab,std,four,sedan,fwd,front,99.1,0.9210266535044422,0.9274755927475592,56.1,2695,ohc,four,121,mpfi,3.54,3.07,9.3,110,5250.0,21,28,12170.0,11.19047619047619,Medium
98,3,150.0,saab,std,two,hatchback,fwd,front,99.1,0.9210266535044422,0.9274755927475592,56.1,2707,ohc,four,121,mpfi,2.54,2.07,9.3,110,5250.0,21,28,15040.0,11.19047619047619,Medium
99,2,104.0,saab,std,four,sedan,fwd,front,99.1,0.9210266535044422,0.9274755927475592,56.1,2758,ohc,four,121,mpfi,3.54,3.07,9.3,110,5250.0,21,28,15510.0,11.19047619047619,Medium
100,3,150.0,saab,turbo,two,hatchback,fwd,front,99.1,0.9210266535044422,0.9274755927475592,56.1,2808,dohc,four,121,mpfi,3.54,3.07,9.0,160,5500.0,19,26,18150.0,12.368421052631579,High
101,2,104.0,saab,turbo,four,sedan,fwd,front,99.1,0.9210266535044422,0.9274755927475592,56.1,2847,dohc,four,121,mpfi,3.54,3.07,9.0,160,5500.0,19,26,18620.0,12.368421052631579,High
102,2,83.0,subaru,std,two,hatchback,fwd,front,93.7,0.7744323790720632,0.8842398884239888,53.7,2050,ohcf,four,97,2bbl,3.62,2.36,9.0,69,4900.0,31,36,5118.0,7.580645161290323,Low
103,2,83.0,subaru,std,two,hatchback,fwd,front,93.7,0.7793682132280356,0.8870292887029289,53.7,2120,ohcf,four,108,2bbl,3.62,2.64,8.7,73,4400.0,26,31,7053.0,9.038461538461538,Low
104,2,83.0,subaru,std,two,hatchback,4wd,front,93.3,0.7764067127344522,0.8898186889818688,55.7,2240,ohcf,four,108,2bbl,3.62,2.64,8.7,73,4400.0,26,31,7603.0,9.038461538461538,Low
105,0,102.0,subaru,std,four,sedan,fwd,front,97.2,0.8489634748272459,0.9121338912133892,52.5,2145,ohcf,four,108,2bbl,3.62,2.64,9.5,82,4800.0,32,37,7126.0,7.34375,Low
106,0,102.0,subaru,std,four,sedan,fwd,front,97.2,0.8489634748272459,0.9121338912133892,52.5,2190,ohcf,four,108,2bbl,3.62,2.64,9.5,82,4400.0,28,33,7775.0,8.392857142857142,Low
107,0,102.0,subaru,std,four,sedan,fwd,front,97.2,0.8489634748272459,0.9121338912133892,52.5,2340,ohcf,four,108,mpfi,3.62,2.64,9.0,94,5200.0,26,32,9960.0,9.038461538461538,Low
108,0,102.0,subaru,std,four,sedan,4wd,front,97.0,0.8489634748272459,0.9121338912133892,54.3,2385,ohcf,four,108,2bbl,3.62,2.64,9.0,82,4800.0,24,25,9233.0,9.791666666666666,Low
109,0,102.0,subaru,turbo,four,sedan,4wd,front,97.0,0.8489634748272459,0.9121338912133892,54.3,2510,ohcf,four,108,mpfi,3.62,2.64,7.7,111,4800.0,24,29,11259.0,9.791666666666666,Medium
110,0,89.0,subaru,std,four,wagon,fwd,front,97.0,0.8563672260612044,0.9121338912133892,53.0,2290,ohcf,four,108,2bbl,3.62,2.64,9.0,82,4800.0,28,32,7463.0,8.392857142857142,Low
111,0,89.0,subaru,std,four,wagon,fwd,front,97.0,0.8563672260612044,0.9121338912133892,53.0,2455,ohcf,four,108,mpfi,3.62,2.64,9.0,94,5200.0,25,31,10198.0,9.4,Low
112,0,85.0,subaru,std,four,wagon,4wd,front,96.9,0.8568608094768015,0.9121338912133892,54.9,2420,ohcf,four,108,2bbl,3.62,2.64,9.0,82,4800.0,23,29,8013.0,10.217391304347826,Low
113,0,85.0,subaru,turbo,four,wagon,4wd,front,96.9,0.8568608094768015,0.9121338912133892,54.9,2650,ohcf,four,108,mpfi,3.62,2.64,7.7,111,4800.0,23,23,11694.0,10.217391304347826,Medium
114,1,87.0,toyota,std,two,hatchback,fwd,front,95.7,0.7833168805528133,0.8870292887029289,54.5,1985,ohc,four,92,2bbl,3.05,3.03,9.0,62,4800.0,35,39,5348.0,6.714285714285714,Low
115,1,87.0,toyota,std,two,hatchback,fwd,front,95.7,0.7833168805528133,0.8870292887029289,54.5,2040,ohc,four,92,2bbl,3.05,3.03,9.0,62,4800.0,31,38,6338.0,7.580645161290323,Low
116,1,74.0,toyota,std,four,hatchback,fwd,front,95.7,0.7833168805528133,0.8870292887029289,54.5,2015,ohc,four,92,2bbl,3.05,3.03,9.0,62,4800.0,31,38,6488.0,7.580645161290323,Low
117,0,77.0,toyota,std,four,wagon,fwd,front,95.7,0.8376110562685093,0.8870292887029289,59.1,2280,ohc,four,92,2bbl,3.05,3.03,9.0,62,4800.0,31,37,6918.0,7.580645161290323,Low
118,0,81.0,toyota,std,four,wagon,4wd,front,95.7,0.8376110562685093,0.8870292887029289,59.1,2290,ohc,four,92,2bbl,3.05,3.03,9.0,62,4800.0,27,32,7898.0,8.703703703703704,Low
119,0,91.0,toyota,std,four,wagon,4wd,front,95.7,0.8376110562685093,0.8870292887029289,59.1,3110,ohc,four,92,2bbl,3.05,3.03,9.0,62,4800.0,27,32,8778.0,8.703703703703704,Low
120,0,91.0,toyota,std,four,sedan,fwd,front,95.7,0.8208292201382035,0.898186889818689,53.0,2081,ohc,four,98,2bbl,3.19,3.03,9.0,70,4800.0,30,37,6938.0,7.833333333333333,Low
121,0,91.0,toyota,std,four,hatchback,fwd,front,95.7,0.8208292201382035,0.898186889818689,52.8,2109,ohc,four,98,2bbl,3.19,3.03,9.0,70,4800.0,30,37,7198.0,7.833333333333333,Low
122,0,91.0,toyota,std,four,sedan,fwd,front,95.7,0.8208292201382035,0.898186889818689,53.0,2275,ohc,four,110,idi,3.27,3.35,22.5,56,4500.0,34,36,7898.0,6.911764705882353,Low
123,0,91.0,toyota,std,four,hatchback,fwd,front,95.7,0.8208292201382035,0.898186889818689,52.8,2275,ohc,four,110,idi,3.27,3.35,22.5,56,4500.0,38,47,7788.0,6.184210526315789,Low
124,0,91.0,toyota,std,four,sedan,fwd,front,95.7,0.8208292201382035,0.898186889818689,53.0,2094,ohc,four,98,2bbl,3.19,3.03,9.0,70,4800.0,38,47,7738.0,6.184210526315789,Low
125,0,91.0,toyota,std,four,hatchback,fwd,front,95.7,0.8208292201382035,0.898186889818689,52.8,2122,ohc,four,98,2bbl,3.19,3.03,9.0,70,4800.0,28,34,8358.0,8.392857142857142,Low
126,0,91.0,toyota,std,four,sedan,fwd,front,95.7,0.8208292201382035,0.898186889818689,52.8,2140,ohc,four,98,2bbl,3.19,3.03,9.0,70,4800.0,28,34,9258.0,8.392857142857142,Low
